ControlID,RequirementID,Principle,Category,EvidenceTitle,ControlText,TypicalEvidence,Control_Function,Control_Type,AIVSS_Primary,AIVSS_Secondary,ASI_ID,ASI_Title,Bridge_Used,Confidence,Rationale,Review_Priority,Review_Checks_Failed,Review_Change_Flag,Review_Change_Notes
B006.1,B006,Security,Technical Implementation,B006.1 Config: Agent service access restrictions,"- Implementing technical restrictions that limit agent capabilities to authorized scope. For example, restricting agent access to approved backend services and APIs, enforcing network segmentation or API gateway rules, or implementing service-level authorization preventing access to sensitive systems.","Screenshot of configuration showing technical limitations on agent backend access - may include API gateway rules restricting accessible services, network policies defining allowed endpoints, service-level authorization configuration, or architecture diagram showing agent isolation boundaries.",Prevent,Technical,Agent Access Control Violation,,ASI03,Identity & Privilege Abuse,N,High,Detected cues: api. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated.,OK,,,
B006.2,B006,Security,Technical Implementation,B006.2 Config: Agent security monitoring and alerting,"- Deploying monitoring and alerting for agent actions that exceed security boundaries. For example, logging all agent service interactions, alerting on access attempts to unauthorized systems or APIs, or anomaly detection flagging unusual connection patterns.","Screenshot of monitoring configuration tracking agent security-relevant actions - may include logging setup capturing agent service calls and authentication attempts, alert rules for unauthorized system access, security monitoring dashboard showing agent infrastructure interactions, or example logs demonstrating boundary violations are detected.",Detect,Technical,Agent Untraceability,Agent Access Control Violation,,,N,Medium,"Detected cues: api, logging. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Access Control Violation.",OK,,,
B007.1,B007,Security,Technical Implementation,B007.1 Config: User access controls,"- Implementing system-level access controls tailored to AI systems. For example, using role-based or attribute-based access to restrict access to model configuration, training datasets, tool-calling capabilities, or prompt logs, based on job function and system sensitivity.
- Restricting administrative and configuration privileges to authorized personnel. For example, limiting ability to alter system behavior, tools, or models.","Screenshot of IAM platform, permission files, or admin panel showing role-based or attribute-based access restrictions for AI system resources (model configurations, training datasets, tool-calling capabilities, prompt logs) - may include IAM role assignments, permission policies, or authorization code validating user permissions before accessing sensitive AI components.",Prevent,Technical,Agent Access Control Violation,Agent Untraceability,ASI03,Identity & Privilege Abuse,N,High,"Detected cues: tool, rce. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.",OK,,,
B007.2,B007,Security,Operational Practices,B007.2 Documentation: Access reviews,"- Conducting access reviews and updates at least quarterly. For example, validating access assignments, updating based on policy or role changes,  documenting access changes with AI-specific context (e.g. model access justification, changes to agent capability boundaries, or access to sensitive prompt/response history).","Quarterly access review documentation - may include access review meeting notes, tracking records of access changes with justifications, or reports documenting role changes and access modifications based on policy updates.",Detect,Policy,Agent Access Control Violation,Agent Untraceability,ASI06,Memory & Context Poisoning,Y,Medium,"Detected cues: context, rce. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation, Agent Untraceability. ASI→AIVSS bridge used to resolve ambiguity via Appendix A alignment.",P1,BridgeUsed; AmbiguousTop2,Y,"Manual review: access reviews enforce privileges; primary access control, secondary audit/traceability."
B008.1,B008,Security,Technical Implementation,B008.1 Config: Model access controls,"- Implementing model access protection. For example, restricting access to production AI models based on job function and operational need, implementing MFA for model system access, maintaining user access reviews appropriate to organizational size.","Screenshot of IAM configuration, permission settings, or admin panel showing role-based access restrictions for production AI models covering IAM role assignments restricting model access by job function, MFA configuration for model system access, and access review records validating model permissions.",Detect,Technical,Agent Access Control Violation,,ASI03,Identity & Privilege Abuse,N,High,ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated.,OK,,,
B008.2,B008,Security,Technical Implementation,B008.2 Config: API deployment security,"- Establishing deployment security controls. For example, applying scoped API tokens or signed requests, using TLS for all endpoint traffic, implementing schema validation to protect model APIs from malformed or adversarial input.","Screenshot of API security configuration for model endpoints - may include scoped API token implementation, TLS/HTTPS certificate configuration for model API traffic, or schema validation code protecting model APIs from malformed or adversarial input.",Prevent,Technical,Agent Access Control Violation,,ASI03,Identity & Privilege Abuse,N,High,"Detected cues: api, token. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated.",OK,,,
B008.3,B008,Security,Technical Implementation,B008.3 Config: Model hosting security,"- Securing model hosting environments. For example, using up-to-date and minimal container images, scanning for known vulnerabilities in dependencies and base images, and applying infrastructure-level isolation techniques based on risk level (e.g. container namespaces, VM separation, or dedicated GPU access).","Screenshot of container configuration or infrastructure setup for model hosting - may include Dockerfile with minimal base images and up-to-date dependencies, vulnerability scanning results from Trivy or Snyk for container images, or infrastructure configuration showing isolation techniques (container namespaces, VM separation, network policies, dedicated GPU allocation).",Prevent,Technical,Agent Access Control Violation,Insecure Agent Critical Systems Interaction,ASI03,Identity & Privilege Abuse,N,High,Detected cues: container. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Insecure Agent Critical Systems Interaction.,OK,,,
B008.4,B008,Security,Technical Implementation,B008.4 Config: Model integrity verification,"- Verifying model integrity before and during deployment. For example, using cryptographic checksums or signed artifacts to detect tampering, scanning model files for malicious payloads.","Screenshot of deployment pipeline or code implementing model integrity checks - may include cryptographic checksum verification, model artifact signature validation, hash comparison before deployment, model scanning configuration detecting malicious payloads (e.g. Pickle, ONNX) using tools like Cisco's pickle-fuzzer, Trail of Bit's Fickling, or deployment logs recording model version hashes.",Prevent,Technical,Agent Access Control Violation,Agent Untraceability; Agent Supply Chain & Dependency Risk,ASI03,Identity & Privilege Abuse,N,Medium,"Detected cues: tool. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability, Agent Supply Chain & Dependency Risk.",P1,AmbiguousTop2,,
B009.1,B009,Security,Technical Implementation,B009.1 Config: Output volume limits,"- Reducing or limiting the number of results shown in outputs to relevant only to balance security and utility. For example, character limits, limits on inference time.","Screenshot of code or configuration implementing output restrictions - may include character or token limits, inference time limits, result count restrictions, or timeout configurations preventing excessive output. Can be demonstrated by product demo showing system timeout when requesting output exceeding limits.",Prevent,Technical,Agent Access Control Violation,Agent Identity Impersonation,ASI03,Identity & Privilege Abuse,N,Medium,Detected cues: token. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Identity Impersonation.,P2,WeakSignals,,
B009.2,B009,Security,Operational Practices,B009.2 Demonstration: User output notices,- Providing user-facing notices or documentation about output limitations.,"Screenshot of product interface showing user notices about output limitations - may include messages indicating truncated or suppressed outputs for security or privacy reasons, user documentation explaining limitation policies, or help articles describing output restrictions.",Prevent,Process,Agent Untraceability,Agent Memory & Context Manipulation,,,N,High,"User notices about output limitations provide transparency into agent behavior, supporting traceability. Secondary impact on memory context leakage prevention.",OK,,Y,Manual review: user notices are transparency/traceability; secondary memory/context leakage.
B009.3,B009,Security,Technical Implementation,B009.3 Config: Output precision controls,"- Limiting the fidelity of model outputs in certain use cases. For example, applying output rounding, threshold bands, or obfuscation techniques to reduce the risk of model inversion.","Screenshot of code implementing output fidelity limitations - may include rounding logic for numerical outputs, threshold bands reducing precision, or obfuscation techniques preventing model inversion, precision-sensitive data disclosure, or adversarial model extraction attacks.",Prevent,Technical,Agent Memory & Context Manipulation,Agent Untraceability,,,N,Medium,Detected cues: disclosure. Mapped primarily to AIVSS core risk 'Agent Identity Impersonation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.,P2,WeakSignals,Y,Manual review: output fidelity limits reduce leakage; transparency secondary.
C001.1,C001,Safety,Operational Practices,C001.1 Documentation: AI risk taxonomy,"- Defining risk categories with severity levels and examples based on industry and deployment context. For example, classifying harmful outputs such as distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception, identifying other high-risk use cases such as safety-critical instructions, legal recommendations, financial advice.
- Aligning risk taxonomy with external frameworks and standards.
- Establishing severity grading appropriate to organizational context and risk tolerance. For example, implementing consistent scoring methodology across risk categories, defining thresholds for flagging and human review.","Internal policy document, risk framework, or taxonomy defining AI risk categories with severity levels and examples specific to deployment context. Example taxonomies to draw upon include NIST AI RMF functions, EU AI Act article 9, ISO42001 controls.",Detect,Policy,Agent Goal & Instruction Manipulation,Agent Memory & Context Manipulation; Agent Untraceability,ASI01,Agent Goal Hijack,N,High,"Risk taxonomy defines acceptable agent behavior boundaries, helping detect goal manipulation. Memory context and traceability are secondary benefits.",OK,AmbiguousTop2; ASIAlignmentMismatch,,
C001.2,C001,Safety,Operational Practices,C001.2 Documentation: Risk taxonomy reviews,"- Maintaining taxonomy currency with documented change management. For example, updating based on emerging threats or incidents.","Meeting notes, change log, or review documentation showing quarterly reviews of the risk taxonomy. Could include review dates, participants, decisions made (categories added/removed/modified, threshold adjustments), rationale for changes, approvals records, and version history showing taxonomy updates over time with timestamps. Can be standalone or part of broader internal audit/review or change management procedures.",Detect,Process,Agent Untraceability,,,,N,Medium,"Detected cues: tool, audit, change management, approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",OK,,,
C002.1,C002,Safety,Technical Implementation,C002.1 Documentation: Pre-deployment test and approval records,"- Conducting pre-deployment testing with documented results and identified issues. For example, structured hallucination testing, adversarial prompting, safety unit tests, and scenario-based walkthroughs.
- Completing risk assessments of identified issues before system deployment. For example, potential impact analysis, mitigation strategies, and residual risk evaluation.
- Obtaining approval sign-offs from designated accountable. For example, documented rationale for approval decisions and maintained records for review purposes.","Test results with identified issues and severity ratings, risk assessment with mitigation decisions, and approval sign-offs with rationale - may be combined in deployment gate documentation or provided as separate documents (e.g., test suite outputs from GitHub Actions/pytest, Jira/Linear tickets with risk assessment and approval, staging environment test reports, deployment checklist with sign-offs).",Detect,Technical,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,Agentic Supply Chain Vulnerabilities,N,High,"Pre-deployment testing validates system integrity before deployment, addressing supply chain risks. Documentation supports traceability.",OK,LowConfidence; WeakSignals,,
C002.2,C002,Safety,Technical Implementation,C002.2 Config: SDLC integration,"- Integrating AI system testing into established software development lifecycle (SDLC) gates. For example, including threat modelling and risk evaluation during design phases, requiring risk evaluation and sign-off at staging or pre-production milestones, aligning with CI/CD or MLOps pipelines, and documenting test artefacts in shared repositories.""","CI/CD pipeline configuration or workflow showing AI testing integrated as deployment gate - may include GitHub Actions/Jenkins/GitLab CI config files requiring test passage, pull request templates with testing checklists, or branch protection rules enforcing pre-deployment validation.",Detect,Technical,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,Agentic Supply Chain Vulnerabilities,N,High,"SDLC integration validates AI systems through established gates, addressing supply chain integrity. Documentation supports traceability.",OK,LowConfidence; WeakSignals,,
C002.3,C002,Safety,Technical Implementation,C002.3 Documentation: Vulnerability scan results,"- Implementing pre-deployment vulnerability scanning of AI artifacts and dependencies. For example, scanning AI models and ML libraries for security vulnerabilities, validating runtime behavior for unsafe operations, and analyzing outputs for harmful content before deployment.","Screenshot of security scanning tools or CI/CD pipeline showing vulnerability analysis of AI artifacts and dependencies - may include GitHub/GitLab security tab with dependency alerts, Snyk or Dependabot vulnerability findings, pip-audit or safety check terminal output showing CVE scans, model file scanning results, or CI/CD logs showing security scan execution.",Detect,Technical,Agent Supply Chain & Dependency Risk,Insecure Agent Critical Systems Interaction,ASI04,Agentic Supply Chain Vulnerabilities,N,Medium,Vulnerability scanning of AI artifacts and dependencies addresses supply chain risks. Critical systems interaction is secondary.,OK,AmbiguousTop2; ASIAlignmentMismatch,Y,Manual review: vuln scanning of artifacts/deps is supply chain; critical interaction secondary.
C003.1,C003,Safety,Technical Implementation,C003.1 Config: Harmful output filtering,"- Implementing content filtering for harmful output types. For example, detecting and blocking distressed responses, angry language, offensive content, biased statements, and deceptive information.","Screenshot of content filtering rules, moderation API configuration, or classifier settings showing detection and blocking logic for harmful output types - may include filtering rules in code, third-party moderation tool configuration (e.g., OpenAI Moderation API, Perspective API), or custom classifier model settings with harm category definitions.",Prevent,Technical,Agent Goal & Instruction Manipulation,Insecure Agent Critical Systems Interaction,ASI04,Agentic Supply Chain Vulnerabilities,N,High,Technical guardrails block attempts to manipulate agent goals toward generating harmful content.,OK,,,
C003.2,C003,Safety,Technical Implementation,C003.2 Config: Guardrails for high-risk advice,"- Implementing guardrails for advice generation. For example, restricting high-risk recommendations in sensitive domains, requiring disclaimers for guidance.","Screenshot of system prompts, guardrail rules, or domain restrictions showing safety controls on advice generation - may include defensive prompting, domain-specific output restrictions (e.g., medical/legal/financial advice blocklists), or conditional response templates that add warnings for sensitive topics.",Prevent,Technical,Agent Goal & Instruction Manipulation,,,,N,High,Documentation of harmful output categories supports consistent goal manipulation detection.,OK,,Y,Manual review: guardrails constrain malicious/unsafe instruction-following; critical interaction secondary.
C003.3,C003,Safety,Technical Implementation,C003.3 Config: Guardrails for biased outputs,"- Implementing bias detection and mitigation controls. For example, monitoring for discriminatory patterns, implementing fairness checks in outputs.","Documentation of bias eval results testing for stereotypical responses across demographic attributes, manual review logs documenting bias assessments, or output filtering rules blocking discriminatory patterns - may include automated fairness evaluation tools or bias monitoring dashboards if implemented.",Detect,Technical,Agent Untraceability,,,,N,High,"Detected cues: tool, eval, testing. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",OK,,,
C003.4,C003,Safety,Operational Practices,C003.4 Documentation: Filtering performance benchmarks,- Evaluating harm mitigation controls using performance metrics.,"Test results, metrics dashboard, or evaluation report showing performance of harm controls - may include false positive/negative rates, coverage analysis of test scenarios, benchmark results against harm datasets (e.g., ToxiGen, RealToxicityPrompts), or confusion matrices showing filtering accuracy across harm categories.",Detect,Process,Agent Goal & Instruction Manipulation,Agent Untraceability,,,N,High,"Quality evaluation of RAG/grounding techniques validates citation accuracy, addressing goal manipulation that could produce misleading citations.",OK,LowConfidence; WeakSignals,Y,Manual review: harm-mitigation benchmarks validate guardrails; traceability secondary.
C004.1,C004,Safety,Technical Implementation,C004.1 Config: out-of-scope guardrails,"- Detecting and blocking out-of-scope requests. For example, detecting conversations outside intended use cases, blocking prohibited topics, providing redirection messages when users hit boundaries, and escalating or restricting access for repeated violations.","Screenshot of blocking rules, defensive prompting, or filtering configuration showing how out-of-scope requests are detected and handled - may include topic blocklists, redirection message templates, escalation rules for repeated attempts, or system prompts defining allowed topics.",Prevent,Technical,Agent Access Control Violation,Agent Identity Impersonation,,,N,Medium,Detected cues: system prompt. Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Identity Impersonation.,P1,AmbiguousTop2,,
C004.2,C004,Safety,Technical Implementation,C004.2 Logs: Out-of-scope attempts,"- Tracking out-of-scope violations and updating boundaries. For example, logging boundary violations, adjusting restrictions based on misuse patterns.","Logs showing out-of-scope attempts with frequency data. May include documentation of boundary updates made in response to violations, monitoring dashboard of flagged requests, change log showing restriction updates with rationale, or incident reports triggering scope adjustments.",Detect,Technical,Agent Untraceability,,,,N,High,Detected cues: logging. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,OK,,,
C004.3,C004,Safety,Technical Implementation,C004.3 Demonstration: User guidance on scope,"- Providing user guidance on system capabilities and limitations. For example, communicating what the AI system can and cannot do, intended use cases, and topics or requests outside the system's scope.","Screenshot of user-facing guidance explaining system capabilities and limitations - may include onboarding tooltips or welcome screens, help documentation or FAQs describing intended use, UI warnings when approaching scope boundaries, or published usage guidelines.",Prevent,Technical,Agent Access Control Violation,Agent Identity Impersonation; Agent Untraceability,,,N,High,"Role-based access controls for AI tooling prevent unauthorized access, directly addressing access control violations. Audit trails support traceability.",OK,LowConfidence; WeakSignals,,
C005.1,C005,Safety,Technical Implementation,C005.1 Config: Risk detection and response,"- Implementing detection and blocking mechanisms aligned with organizational risk taxonomy. For example, deploying filtering based on defined risk categories and severity thresholds.
- Implementing response actions for detected risks. For example, blocking high-severity outputs, flagging medium-risk content for review, logging violations for monitoring and analysis.","Screenshot of filtering rules, system configuration, or code showing detection logic mapped to AI risk taxonomy categories and corresponding response actions per severity level - may include risk classifiers with block/flag/log rules, content moderation API configuration defining actions by risk type, or defensive prompting.",Detect,Technical,Agent Untraceability,,,,N,Medium,"Detected cues: api, logging. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",P2,ToolCueMismatch,,
C005.2,C005,Safety,Technical Implementation,C005.2 Documentation: Human review workflows,"- Establishing escalation procedures for flagged high-risk content. For example, defining when human review is required and establishing approval workflows for edge cases.","Documentation or workflow configuration showing human review and escalation procedures for flagged content - may include runbook defining escalation criteria and review SLAs, workflow diagram showing approval process, or ticketing system configuration (Jira, Linear) with content review queues and assignment rules.",Detect,Technical,Agent Untraceability,,,,N,High,Approval workflows with documented decisions provide traceability for access control changes.,OK,LowConfidence; WeakSignals,,
C005.3,C005,Safety,Technical Implementation,C005.3 Config: Automated response mechanisms,"- Implementing automated real-time interventions. For example, blocking or modifying outputs based on severity.","Screenshot of code or system configuration showing automated response mechanisms - may include logic blocking or modifying outputs based on risk scores, or dynamic warning messages triggered by content flags.",Prevent,Technical,Agent Cascading Failures,,,,N,High,Fallback mechanisms prevent failures from cascading when primary agent components fail.,OK,LowConfidence; WeakSignals,,
C006.1,C006,Safety,Technical Implementation,C006.1 Config: Output sanitization,"- Establishing output sanitization and validation procedures before presenting content to users. For example, encoding or stripping potentially malicious content, validating structured outputs against safe schemas, blocking unsafe URLs, and enforcing secure rendering modes.","Screenshot of code or configuration implementing output sanitization - may include HTML/JavaScript/shell syntax encoding functions, URL validation or rewriting rules blocking unsafe links, schema validation checking structured outputs (JSON/YAML/XML) against whitelists, CSP header configuration, or template rendering with auto-escaping enabled.",Prevent,Technical,Insecure Agent Critical Systems Interaction,,ASI05,Unexpected Code Execution (RCE),N,Medium,"Detected cues: api, shell. ASI label inferred: ASI05 (Unexpected Code Execution (RCE)). Mapped primarily to AIVSS core risk 'Insecure Agent Critical Systems Interaction' as the most direct agentic failure mode mitigated.",OK,,,
C006.2,C006,Safety,Technical Implementation,C006.2 Demonstration: Warning labels for untrusted content,"- Implementing security labeling and content handling based on trust level. For example, marking untrusted or third-party content, distinguishing external data from system-generated content, and applying differentiated security controls based on content source.","Screenshot of UI or code showing trust-based content handling - may include visual indicators marking third-party content (badges, styling, warning icons), metadata tags tracking content source and trust level, or code applying conditional security controls based on content origin (e.g., stricter sanitization for external sources).",Prevent,Technical,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,Agentic Supply Chain Vulnerabilities,N,Medium,"Detected cues: rce, label. ASI label inferred: ASI04 (Agentic Supply Chain Vulnerabilities). Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.",OK,,,
C006.3,C006,Safety,Technical Implementation,C006.3 Config: Adversarial output detection,"- Detecting advanced output-based attack patterns. For example, identifying prompt injection attempts, model subversion techniques, payloads targeting downstream systems, or obfuscated exploits designed to bypass filters.","Screenshot of detection rules or monitoring system identifying advanced attack patterns in outputs - may include pattern matching for prompt injection chains or jailbreak tokens, payload signature scanning detecting command injection or SQL queries, or anomaly detection flagging obfuscated exploits bypassing basic filters.",Prevent,Technical,Agent Goal & Instruction Manipulation,Insecure Agent Critical Systems Interaction,ASI01,Agent Goal Hijack,N,High,"Detected cues: prompt injection, jailbreak, token. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Insecure Agent Critical Systems Interaction.",P1,AmbiguousTop2,,
C007.1,C007,Safety,Operational Practices,C007.1 Documentation: Definition of high-risk recommendations criteria,- Defining high-risk output criteria drawing on risk taxonomy.,"Document or policy defining high-risk outputs requiring human review - should specify criteria for flagging (e.g. financial advice thresholds, medical/legal/safety domains, reputational harm triggers). Can be standalone or included in existing AI risk taxonomy/AI risk policy.",Detect,Policy,Agent Untraceability,,,,N,Medium,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,OK,,,
C007.2,C007,Safety,Technical Implementation,C007.2 Config: High-risk detection mechanisms,"- Implementing automated detection mechanisms for high-risk outputs. For example, using content filtering, risk scoring, or classification models to identify outputs requiring review or flagging.","Screenshot of detection code, configuration file, or rules engine showing high-risk output filtering - may include keyword lists or regex patterns flagging sensitive topics, scoring logic assigning risk values to recommendations, if/then rules defining high-risk conditions, ML model configuration (e.g., classification thresholds in config.yaml), or API response showing confidence scores with risk thresholds.",Detect,Technical,Insecure Agent Critical Systems Interaction,,,,N,High,Automated risk detection mechanisms identify threats to critical systems from agent interactions.,OK,LowConfidence; WeakSignals,,
C007.3,C007,Safety,Operational Practices,C007.3 Documentation: Human review workflows,"- Establishing human review workflows for flagged high-risk outputs. For example, assigning reviewers, defining escalation procedures for complex cases, managing review queues with response time tracking, and documenting review decisions.","Workflow documentation or ticketing system configuration showing human review process for flagged outputs - may include runbook with reviewer assignments and escalation paths, queue management in Jira/Linear/support ticketing with pending review tracking, SLA targets for review response times, or procedure document defining review decision documentation requirements.",Detect,Process,Agent Untraceability,,,,N,Medium,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,P2,WeakSignals,,
C008.1,C008,Safety,Technical Implementation,C008.1 Logs: AI risk monitoring,"- Establishing ongoing monitoring of AI outputs across risk categories. For example, conducting regular evaluations prioritized by risk severity, sampling outputs for review, and tracking system behavior patterns.","Screenshot of monitoring dashboard, logging system, or evaluation reports showing ongoing AI output tracking - may include output sampling logs with review results, behavior trace logs showing system patterns, prompt-response logging configuration, evaluation schedules prioritized by risk severity, or monitoring metrics dashboard tracking trends over time.",Detect,Technical,Agent Untraceability,,ASI10,Rogue Agents,N,High,"Detected cues: tool, logging, eval. ASI label inferred: ASI10 (Rogue Agents). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",OK,,,
C008.2,C008,Safety,Technical Implementation,C008.2 Documentation: Monitoring findings,"- Maintaining documentation. For example, recording identified scenarios with clear examples, updating risk taxonomy based on monitoring findings and incidents.","Document or change log showing identified risk scenarios with examples - may include incident reports triggering taxonomy changes, risk scenario database with concrete examples, or version history of risk taxonomy showing updates with rationale linked to monitoring findings.",Detect,Technical,Agent Untraceability,,,,N,High,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.,OK,,,
C008.4,C008,Safety,Technical Implementation,C008.4 Config: Security tooling,"- Integrating AI output monitoring with existing security tools. For example, forwarding alerts and flagged outputs to SIEM platforms, applying standard logging formats (e.g. JSON, syslog) to support automated threat detection workflows.","Screenshot of SIEM integration, log forwarding configuration, or security tool settings showing AI monitoring data flowing into existing security infrastructure - may include Splunk/Datadog/Elastic forwarding rules for AI alerts, JSON/syslog format configuration for AI logs, or SIEM dashboard showing AI-related events alongside other security telemetry.",Detect,Technical,Agent Untraceability,,,,N,Medium,"Detected cues: tool, integration, logging. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",P2,ToolCueMismatch,,
C009.1,C009,Safety,Technical Implementation,C009.1 Demonstration: User intervention mechanisms,"- Enabling user intervention capabilities. For example, providing mechanisms for users to pause, stop, or redirect system behavior, implementing feedback collection tools for users to report issues or concerns, ensuring technical controls persist across devices and interaction contexts.
- Ensuring accessibility of feedback and intervention mechanisms. For example, adhering to WCAG 2.1 standards for color contrast, screen reader compatibility, keyboard navigation, and clear messaging for users with disabilities.","Screenshot, screen recording or voice recording demonstrating intervention controls (stop/pause/redirect buttons, feedback forms, issue reporting mechanisms) with accessibility features integrated (e.g. keyboard navigation, high contrast modes, screen reader labels)",Prevent,Technical,Agent Cascading Failures,Agent Untraceability,ASI08,Cascading Failures,N,High,User intervention controls (stop/pause/redirect) allow immediate halting of harmful agent behavior before cascading. Audit trails of interventions support traceability.,OK,,Y,Manual review: user pause/stop/redirect contains cascades; auditability secondary.
C009.2,C009,Safety,Operational Practices,C009.2 Documentation: User feedback & intervention reviews,"- Reviewing user feedback and intervention logs regularly. For example, evaluating patterns in interventions, adapting communication methods based on user needs and emerging risk considerations.
- Analyzing collected feedback using structured methodologies. For example, categorizing by risk domain, prioritizing based on frequency and severity,  routing high-impact or repeat issues into product backlog or compliance workflows.","Logs, reports, or dashboard showing review and analysis of user feedback and intervention patterns - may include feedback summary reports, intervention frequency analysis, categorization by risk domain, documentation of system changes made in response to patterns, or integration with product backlog/compliance workflows.",Detect,Process,Agent Untraceability,,,,N,High,"Detected cues: integration, eval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",P2,ToolCueMismatch,,
C010.1,C010,Safety,Third-party Evals,C010.1 Report: Harmful output testing,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including performing assessments of harmful outputs at least every quarter, defining testing scope and methodologies based on risk classifications and industry benchmarks like ToxiGen, coordinating with internal security and testing teams.
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.","Third-party evaluation report showing harmful output testing - must include documentation of assessor qualifications, testing methodology and findings, and improvement tracking with remediation timelines and documentation.",Prevent,Process,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,Agent Goal Hijack,N,High,Third-party testing for harmful outputs validates defenses against goal manipulation attacks that produce dangerous content. Testing records support traceability.,OK,,,
C011.1,C011,Safety,Third-party Evals,C011.1 Report: Out-of-scope output testing,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including defining testing scope and methodologies based on risk taxonomy and performing assessments of out-of-scope outputs at least every quarter. 
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.","Third-party evaluation report showing out-of-scope output testing - must include documentation of assessor qualifications, testing methodology and findings, and improvement tracking with remediation timelines and documentation.",Prevent,Process,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,Agent Goal Hijack,N,High,Third-party testing for out-of-scope outputs validates defenses against goal manipulation that elicits unauthorized content. Testing records support traceability.,OK,,,
