Type,ID,ParentReqID,Principle,Title,FullText,Category,AIVSS_Primary,AIVSS_Secondary,ASI_ID,Confidence,Review_Priority,Rationale
Control,B009.3,B009,Security,B009.3 Config: Output precision controls,"- Limiting the fidelity of model outputs in certain use cases. For example, applying output rounding, threshold bands, or obfuscation techniques to reduce the risk of model inversion.",Technical Implementation,Agent Memory & Context Manipulation,Agent Untraceability,,Medium,P2,Detected cues: disclosure. Mapped primarily to AIVSS core risk 'Agent Identity Impersonation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.
Requirement,C001,,Safety,C001: Define AI risk taxonomy,"Establish a risk taxonomy that categorizes risks within harmful, out-of-scope, and hallucinated outputs, tool calls, and other risks based on application-specific usage",,Agent Goal & Instruction Manipulation,Agentic AI Tool Misuse,,High,OK,"Risk taxonomy defines boundaries for acceptable agent behavior, helping detect goal manipulation. Tool call risks are secondary."
Control,C001.1,C001,Safety,C001.1 Documentation: AI risk taxonomy,"- Defining risk categories with severity levels and examples based on industry and deployment context. For example, classifying harmful outputs such as distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception, identifying other high-risk use cases such as safety-critical instructions, legal recommendations, financial advice.
- Aligning risk taxonomy with external frameworks and standards.
- Establishing severity grading appropriate to organizational context and risk tolerance. For example, implementing consistent scoring methodology across risk categories, defining thresholds for flagging and human review.",Operational Practices,Agent Goal & Instruction Manipulation,Agent Memory & Context Manipulation; Agent Untraceability,ASI01,High,OK,"Risk taxonomy defines acceptable agent behavior boundaries, helping detect goal manipulation. Memory context and traceability are secondary benefits."
Control,C001.2,C001,Safety,C001.2 Documentation: Risk taxonomy reviews,"- Maintaining taxonomy currency with documented change management. For example, updating based on emerging threats or incidents.",Operational Practices,Agent Untraceability,,,Medium,OK,"Detected cues: tool, audit, change management, approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Requirement,C002,,Safety,C002: Conduct pre-deployment testing,Conduct internal testing of AI systems prior to deployment across risk categories for system changes requiring formal review or approval,,Agent Supply Chain & Dependency Risk,Agent Untraceability,,High,OK,"Pre-deployment testing validates system integrity before deployment, addressing supply chain risks. Documentation supports traceability."
Control,C002.1,C002,Safety,C002.1 Documentation: Pre-deployment test and approval records,"- Conducting pre-deployment testing with documented results and identified issues. For example, structured hallucination testing, adversarial prompting, safety unit tests, and scenario-based walkthroughs.
- Completing risk assessments of identified issues before system deployment. For example, potential impact analysis, mitigation strategies, and residual risk evaluation.
- Obtaining approval sign-offs from designated accountable. For example, documented rationale for approval decisions and maintained records for review purposes.",Technical Implementation,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,High,OK,"Pre-deployment testing validates system integrity before deployment, addressing supply chain risks. Documentation supports traceability."
Control,C002.2,C002,Safety,C002.2 Config: SDLC integration,"- Integrating AI system testing into established software development lifecycle (SDLC) gates. For example, including threat modelling and risk evaluation during design phases, requiring risk evaluation and sign-off at staging or pre-production milestones, aligning with CI/CD or MLOps pipelines, and documenting test artefacts in shared repositories.""",Technical Implementation,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,High,OK,"SDLC integration validates AI systems through established gates, addressing supply chain integrity. Documentation supports traceability."
Control,C002.3,C002,Safety,C002.3 Documentation: Vulnerability scan results,"- Implementing pre-deployment vulnerability scanning of AI artifacts and dependencies. For example, scanning AI models and ML libraries for security vulnerabilities, validating runtime behavior for unsafe operations, and analyzing outputs for harmful content before deployment.",Technical Implementation,Agent Supply Chain & Dependency Risk,Insecure Agent Critical Systems Interaction,ASI04,Medium,OK,Vulnerability scanning of AI artifacts and dependencies addresses supply chain risks. Critical systems interaction is secondary.
Requirement,C003,,Safety,C003: Prevent harmful outputs,"Implement safeguards or technical controls to prevent harmful outputs including distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception",,Agent Goal & Instruction Manipulation,Insecure Agent Critical Systems Interaction,,High,OK,Harmful output prevention directly addresses goal manipulation attacks that attempt to elicit dangerous content. Critical systems interaction is secondary.
Control,C003.1,C003,Safety,C003.1 Config: Harmful output filtering,"- Implementing content filtering for harmful output types. For example, detecting and blocking distressed responses, angry language, offensive content, biased statements, and deceptive information.",Technical Implementation,Agent Goal & Instruction Manipulation,Insecure Agent Critical Systems Interaction,ASI04,High,OK,Technical guardrails block attempts to manipulate agent goals toward generating harmful content.
Control,C003.2,C003,Safety,C003.2 Config: Guardrails for high-risk advice,"- Implementing guardrails for advice generation. For example, restricting high-risk recommendations in sensitive domains, requiring disclaimers for guidance.",Technical Implementation,Agent Goal & Instruction Manipulation,,,High,OK,Documentation of harmful output categories supports consistent goal manipulation detection.
Control,C003.3,C003,Safety,C003.3 Config: Guardrails for biased outputs,"- Implementing bias detection and mitigation controls. For example, monitoring for discriminatory patterns, implementing fairness checks in outputs.",Technical Implementation,Agent Untraceability,,,High,OK,"Detected cues: tool, eval, testing. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,C003.4,C003,Safety,C003.4 Documentation: Filtering performance benchmarks,- Evaluating harm mitigation controls using performance metrics.,Operational Practices,Agent Goal & Instruction Manipulation,Agent Untraceability,,High,OK,"Quality evaluation of RAG/grounding techniques validates citation accuracy, addressing goal manipulation that could produce misleading citations."
Requirement,C004,,Safety,C004: Prevent out-of-scope outputs,"Implement safeguards or technical controls to prevent out-of-scope outputs (e.g. political discussion, healthcare advice)",,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,High,OK,"Preventing out-of-scope outputs constrains agent behavior within defined boundaries, directly addressing goal manipulation where attackers try to elicit unauthorized content."
Control,C004.1,C004,Safety,C004.1 Config: out-of-scope guardrails,"- Detecting and blocking out-of-scope requests. For example, detecting conversations outside intended use cases, blocking prohibited topics, providing redirection messages when users hit boundaries, and escalating or restricting access for repeated violations.",Technical Implementation,Agent Access Control Violation,Agent Identity Impersonation,,Medium,P1,Detected cues: system prompt. Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Identity Impersonation.
Control,C004.2,C004,Safety,C004.2 Logs: Out-of-scope attempts,"- Tracking out-of-scope violations and updating boundaries. For example, logging boundary violations, adjusting restrictions based on misuse patterns.",Technical Implementation,Agent Untraceability,,,High,OK,Detected cues: logging. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,C004.3,C004,Safety,C004.3 Demonstration: User guidance on scope,"- Providing user guidance on system capabilities and limitations. For example, communicating what the AI system can and cannot do, intended use cases, and topics or requests outside the system's scope.",Technical Implementation,Agent Access Control Violation,Agent Identity Impersonation; Agent Untraceability,,High,OK,"Role-based access controls for AI tooling prevent unauthorized access, directly addressing access control violations. Audit trails support traceability."
Requirement,C005,,Safety,C005: Prevent customer-defined high risk outputs,Implement safeguards or technical controls to prevent additional high risk outputs as defined in risk taxonomy,,Agent Goal & Instruction Manipulation,Agent Cascading Failures,ASI01,High,OK,Preventing high-risk outputs as defined in risk taxonomy constrains agent goal execution. Cascading failures are secondary when harmful outputs propagate.
Control,C005.1,C005,Safety,C005.1 Config: Risk detection and response,"- Implementing detection and blocking mechanisms aligned with organizational risk taxonomy. For example, deploying filtering based on defined risk categories and severity thresholds.
- Implementing response actions for detected risks. For example, blocking high-severity outputs, flagging medium-risk content for review, logging violations for monitoring and analysis.",Technical Implementation,Agent Untraceability,,,Medium,P2,"Detected cues: api, logging. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,C005.2,C005,Safety,C005.2 Documentation: Human review workflows,"- Establishing escalation procedures for flagged high-risk content. For example, defining when human review is required and establishing approval workflows for edge cases.",Technical Implementation,Agent Untraceability,,,High,OK,Approval workflows with documented decisions provide traceability for access control changes.
Control,C005.3,C005,Safety,C005.3 Config: Automated response mechanisms,"- Implementing automated real-time interventions. For example, blocking or modifying outputs based on severity.",Technical Implementation,Agent Cascading Failures,,,High,OK,Fallback mechanisms prevent failures from cascading when primary agent components fail.
Requirement,C006,,Safety,C006: Prevent output vulnerabilities,Implement safeguards to prevent security vulnerabilities in outputs from impacting users,,Insecure Agent Critical Systems Interaction,Agent Cascading Failures,ASI05,High,OK,"Preventing security vulnerabilities in outputs (e.g., code injection, XSS) protects critical systems from agent-generated exploits. Cascading failures are secondary."
Control,C006.1,C006,Safety,C006.1 Config: Output sanitization,"- Establishing output sanitization and validation procedures before presenting content to users. For example, encoding or stripping potentially malicious content, validating structured outputs against safe schemas, blocking unsafe URLs, and enforcing secure rendering modes.",Technical Implementation,Insecure Agent Critical Systems Interaction,,ASI05,Medium,OK,"Detected cues: api, shell. ASI label inferred: ASI05 (Unexpected Code Execution (RCE)). Mapped primarily to AIVSS core risk 'Insecure Agent Critical Systems Interaction' as the most direct agentic failure mode mitigated."
Control,C006.2,C006,Safety,C006.2 Demonstration: Warning labels for untrusted content,"- Implementing security labeling and content handling based on trust level. For example, marking untrusted or third-party content, distinguishing external data from system-generated content, and applying differentiated security controls based on content source.",Technical Implementation,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,Medium,OK,"Detected cues: rce, label. ASI label inferred: ASI04 (Agentic Supply Chain Vulnerabilities). Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability."
Control,C006.3,C006,Safety,C006.3 Config: Adversarial output detection,"- Detecting advanced output-based attack patterns. For example, identifying prompt injection attempts, model subversion techniques, payloads targeting downstream systems, or obfuscated exploits designed to bypass filters.",Technical Implementation,Agent Goal & Instruction Manipulation,Insecure Agent Critical Systems Interaction,ASI01,High,P1,"Detected cues: prompt injection, jailbreak, token. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Insecure Agent Critical Systems Interaction."
Requirement,C007,,Safety,C007: Flag high risk outputs,Implement an alerting system that flags high-risk outputs for human review,,Agent Cascading Failures,Agent Untraceability,ASI08,High,OK,"Flagging high-risk outputs for human review prevents harmful agent outputs from propagating into downstream systems or decisions, directly addressing cascading failures. Audit trails support traceability."
Control,C007.1,C007,Safety,C007.1 Documentation: Definition of high-risk recommendations criteria,- Defining high-risk output criteria drawing on risk taxonomy.,Operational Practices,Agent Untraceability,,,Medium,OK,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,C007.2,C007,Safety,C007.2 Config: High-risk detection mechanisms,"- Implementing automated detection mechanisms for high-risk outputs. For example, using content filtering, risk scoring, or classification models to identify outputs requiring review or flagging.",Technical Implementation,Insecure Agent Critical Systems Interaction,,,High,OK,Automated risk detection mechanisms identify threats to critical systems from agent interactions.
Control,C007.3,C007,Safety,C007.3 Documentation: Human review workflows,"- Establishing human review workflows for flagged high-risk outputs. For example, assigning reviewers, defining escalation procedures for complex cases, managing review queues with response time tracking, and documenting review decisions.",Operational Practices,Agent Untraceability,,,Medium,P2,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Requirement,C008,,Safety,C008: Monitor AI risk categories,Implement monitoring of AI systems across risk categories,,Agent Untraceability,Agent Goal & Instruction Manipulation,ASI10,High,OK,"Monitoring AI systems across risk categories provides visibility into agent behavior, directly addressing untraceability. Detecting behavioral drift also helps identify goal manipulation."
Control,C008.1,C008,Safety,C008.1 Logs: AI risk monitoring,"- Establishing ongoing monitoring of AI outputs across risk categories. For example, conducting regular evaluations prioritized by risk severity, sampling outputs for review, and tracking system behavior patterns.",Technical Implementation,Agent Untraceability,,ASI10,High,OK,"Detected cues: tool, logging, eval. ASI label inferred: ASI10 (Rogue Agents). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,C008.2,C008,Safety,C008.2 Documentation: Monitoring findings,"- Maintaining documentation. For example, recording identified scenarios with clear examples, updating risk taxonomy based on monitoring findings and incidents.",Technical Implementation,Agent Untraceability,,,High,OK,Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,C008.4,C008,Safety,C008.4 Config: Security tooling,"- Integrating AI output monitoring with existing security tools. For example, forwarding alerts and flagged outputs to SIEM platforms, applying standard logging formats (e.g. JSON, syslog) to support automated threat detection workflows.",Technical Implementation,Agent Untraceability,,,Medium,P2,"Detected cues: tool, integration, logging. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Requirement,C009,,Safety,C009: Enable real-time feedback and intervention,Implement mechanisms to enable real-time user feedback collection and intervention mechanisms,,Agent Cascading Failures,Agent Goal & Instruction Manipulation,ASI08,High,OK,Real-time intervention mechanisms (stop/pause/redirect) allow users to halt harmful agent behavior before it cascades. Goal manipulation is secondary as interventions can stop hijacked agents.
Control,C009.1,C009,Safety,C009.1 Demonstration: User intervention mechanisms,"- Enabling user intervention capabilities. For example, providing mechanisms for users to pause, stop, or redirect system behavior, implementing feedback collection tools for users to report issues or concerns, ensuring technical controls persist across devices and interaction contexts.
- Ensuring accessibility of feedback and intervention mechanisms. For example, adhering to WCAG 2.1 standards for color contrast, screen reader compatibility, keyboard navigation, and clear messaging for users with disabilities.",Technical Implementation,Agent Cascading Failures,Agent Untraceability,ASI08,High,OK,User intervention controls (stop/pause/redirect) allow immediate halting of harmful agent behavior before cascading. Audit trails of interventions support traceability.
Control,C009.2,C009,Safety,C009.2 Documentation: User feedback & intervention reviews,"- Reviewing user feedback and intervention logs regularly. For example, evaluating patterns in interventions, adapting communication methods based on user needs and emerging risk considerations.
- Analyzing collected feedback using structured methodologies. For example, categorizing by risk domain, prioritizing based on frequency and severity,  routing high-impact or repeat issues into product backlog or compliance workflows.",Operational Practices,Agent Untraceability,,,High,P2,"Detected cues: integration, eval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Requirement,C010,,Safety,C010: Third-party testing for harmful outputs,"Appoint expert third parties to evaluate system robustness to harmful outputs including distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception at least every 3 months",,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,High,OK,Third-party testing for harmful outputs validates defenses against goal manipulation attacks that produce dangerous content. Testing records support traceability.
Control,C010.1,C010,Safety,C010.1 Report: Harmful output testing,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including performing assessments of harmful outputs at least every quarter, defining testing scope and methodologies based on risk classifications and industry benchmarks like ToxiGen, coordinating with internal security and testing teams.
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",Third-party Evals,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,High,OK,Third-party testing for harmful outputs validates defenses against goal manipulation attacks that produce dangerous content. Testing records support traceability.
Requirement,C011,,Safety,C011: Third-party testing for out-of-scope outputs,"Appoint expert third parties to evaluate system robustness to out-of-scope outputs at least every 3 months (e.g. political discussion, healthcare advice)",,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,High,OK,Third-party testing for out-of-scope outputs validates defenses against goal manipulation that elicits unauthorized content. Testing records support traceability.
Control,C011.1,C011,Safety,C011.1 Report: Out-of-scope output testing,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including defining testing scope and methodologies based on risk taxonomy and performing assessments of out-of-scope outputs at least every quarter. 
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",Third-party Evals,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,High,OK,Third-party testing for out-of-scope outputs validates defenses against goal manipulation that elicits unauthorized content. Testing records support traceability.
Requirement,C012,,Safety,C012: Third-party testing for customer-defined risk,Appoint expert third-parties to evaluate system robustness to additional high-risk outputs as defined in risk taxonomy at least every 3 months,,Agent Supply Chain & Dependency Risk,,ASI04,Medium,OK,"Detected cues: eval, testing. ASI label inferred: ASI04 (Agentic Supply Chain Vulnerabilities). Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated."
Control,C012.1,C012,Safety,C012.1 Third-party evaluation report assessing customer-defined risk,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including defining testing scope and methodologies based on risk taxonomy and performing assessments of high-risk areas at least every quarter.
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",Third-party Evals,Agent Supply Chain & Dependency Risk,Agent Access Control Violation; Agent Untraceability,ASI04,Medium,P1,"Detected cues: eval, testing. ASI label inferred: ASI04 (Agentic Supply Chain Vulnerabilities). Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Access Control Violation, Agent Untraceability."
Requirement,D001,,Reliability,D001: Prevent hallucinated outputs,Implement safeguards or technical controls to prevent hallucinated outputs,,Agent Cascading Failures,Agent Untraceability,,High,OK,"Hallucination prevention stops false information from propagating through agent chains, preventing cascading failures."
Control,D001.1,D001,Reliability,D001.1 Config: Groundedness filter,"- Implementing factual accuracy controls. For example, deploying available fact-checking mechanisms, flagging uncertain or low-confidence responses.",Technical Implementation,Agent Cascading Failures,Agent Untraceability,ASI06,High,OK,RAG/grounding techniques prevent hallucinated information from cascading through agent workflows.
Control,D001.2,D001,Reliability,D001.2 Demonstration: User-facing citations & source attributions,"- Establishing information source validation. For example, requiring citations for factual claims, implementing source reliability checks.",Technical Implementation,Agent Cascading Failures,Agent Untraceability,,High,OK,"Citation requirements enable tracing of information sources, supporting cascade prevention and audit."
Control,D001.3,D001,Reliability,D001.3 Demonstration: User-facing uncertainty labels,"- Maintaining uncertainty communication. For example, displaying confidence levels, providing appropriate disclaimers for generated information.",Technical Implementation,Agent Untraceability,Agent Cascading Failures,,High,OK,"Output labeling provides transparency into AI-generated content, supporting traceability. Prevention of cascading errors is secondary."
Requirement,D002,,Reliability,D002: Third-party testing for hallucinations,Appoint expert third-parties to evaluate hallucinated outputs at least every 3 months,,Agent Cascading Failures,Agent Untraceability,ASI08,High,OK,Third-party hallucination testing detects false outputs before they cascade into user decisions. Testing records support traceability.
Control,D002.1,D002,Reliability,D002.1 Report: Hallucination testing results,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including defining testing scope and methodologies based on risk taxonomy and performing assessments at least every quarter.
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",Third-party Evals,Agent Cascading Failures,Agent Untraceability,ASI08,High,OK,Third-party hallucination testing detects false outputs before they cascade into user decisions. Testing records support traceability.
Requirement,D003,,Reliability,D003: Restrict unsafe tool calls,"Implement safeguards or technical controls to prevent tool calls in AI systems from executing unauthorized actions, accessing restricted information, or making decisions beyond their intended scope",,Agentic AI Tool Misuse,Agent Access Control Violation,ASI02,High,OK,Safeguards preventing unauthorized tool calls directly address agentic tool misuse. Access controls are secondary.
Control,D003.1,D003,Reliability,D003.1 Config: Tool authorization & validation,"- Implementing function call validation and authorization. For example, restricting tool access to approved functions, validating parameters before execution.",Technical Implementation,Agent Access Control Violation,Agentic AI Tool Misuse,ASI03,High,P1,Detected cues: tool. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agentic AI Tool Misuse.
Control,D003.2,D003,Reliability,D003.2 Config: Rate limits for tools,- Enforcing rate limits and transaction caps for autonomous tool use.,Technical Implementation,Agentic AI Tool Misuse,Agent Access Control Violation,,High,OK,"Rate limits and transaction caps prevent excessive tool calls, directly addressing tool misuse. Access controls are secondary."
Control,D003.3,D003,Reliability,D003.3 Config: Tool call log,"- Establishing execution monitoring and logging. For example, tracking all tool calls, monitoring for unauthorized access attempts or scope violations.",Technical Implementation,Agentic AI Tool Misuse,Agent Untraceability; Agent Access Control Violation,,Medium,P1,"Detected cues: tool, logging, audit. Mapped primarily to AIVSS core risk 'Agentic AI Tool Misuse' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability, Agent Access Control Violation."
Control,D003.4,D003,Reliability,D003.4 Config: Human-approval workflows,"- Requiring human approval for sensitive tool operations. For example, requiring human confirmation before executing high-risk actions, implementing approval workflows for operations beyond autonomous boundaries.",Operational Practices,Agentic AI Tool Misuse,Agent Access Control Violation; Agent Untraceability,,High,OK,Human approval workflows for sensitive tool operations prevent misuse of high-risk capabilities. Access controls and audit trails are secondary.
Control,D003.5,D003,Reliability,D003.5 Documentation: tool call log reviews,"- Reviewing patterns of AI tool usage. For example, identifying anomalies, updating tool permissions, and retiring unused or high-risk functions during scheduled evaluations.",Operational Practices,Agentic AI Tool Misuse,Agent Access Control Violation; Agent Untraceability,ASI03,Medium,OK,"Reviewing patterns of AI tool usage identifies anomalies and informs permission updates, addressing tool misuse. Access control and audit are secondary."
Requirement,D004,,Reliability,D004: Third-party testing of tool calls,"Appoint expert third-parties to evaluate tool calls in AI systems, including executing unauthorized actions, accessing restricted information, or making decisions beyond their intended scope at least every 3 months",,Agentic AI Tool Misuse,Agent Access Control Violation,ASI02,High,OK,Third-party testing of tool calls validates defenses against unauthorized tool execution. Access control testing is secondary.
Control,D004.1,D004,Reliability,D004.1 Report: Tool call testing,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including defining testing scope and methodologies based on risk taxonomy and performing assessments of tool calls at least every quarter.
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",Third-party Evals,Agentic AI Tool Misuse,Agent Supply Chain & Dependency Risk,ASI04,Medium,OK,"Pre-deployment testing of new tool integrations validates behavior, preventing tool misuse. Supply chain validation is secondary."
Requirement,E001,,Accountability,E001: AI failure plan for security breaches,"Document AI failure plan for AI privacy and security breaches assigning accountable owners and establishing notification and remediation with third-party support as needed (e.g. legal, PR, insurers)",,Agent Cascading Failures,Agent Untraceability,ASI08,High,OK,AI failure plans for security breaches establish response procedures to contain incidents before they cascade. Accountability assignments support traceability.
Control,E001.1,E001,Accountability,E001.1 Documentation: AI failure plan for security breaches,"- Assigning a breach response lead from existing staff. For example, IT manager, security officer, or designated executive with authority to engage external counsel and specialists as needed.
- Defining breach notification procedures. For example, customer communications, regulatory reporting requirements, and vendor notifications based on applicable privacy laws.
- Implementing security remediation measures. For example, system freeze capabilities, vulnerability fixes, access control updates, and coordination with external security consultants when internal expertise is insufficient.
- Establishing evidence collection requirements with guidance on preserving evidence for potential legal review. For example, system logs, user activity records, and basic documentation.",Operational Practices,Agent Untraceability,,ASI04,High,OK,"AI failure plans for security breaches establish response procedures and accountability, supporting traceability and cascade prevention."
Requirement,E002,,Accountability,E002: AI failure plan for harmful outputs,"Document AI failure plan for harmful AI outputs that cause significant customer harm assigning accountable owners and establishing remediation with third-party support as needed (e.g. legal, PR, insurers)",,Agent Goal & Instruction Manipulation,Agent Cascading Failures,ASI01,High,OK,Failure plans for harmful outputs address the consequences of goal manipulation attacks that produce dangerous content. Cascade prevention is secondary.
Control,E002.1,E002,Accountability,E002.1 Documentation: AI failure plan for harmful outputs,"- Implementing customer communication protocols. For example, disclosure procedures, explanation of corrective actions, and follow-up commitments with executive approval for significant incidents.
- Establishing immediate mitigation steps with designated staff responsibilities. For example, system freeze capabilities, output suppression, customer notification, and system adjustments.",Operational Practices,Agent Untraceability,Agent Supply Chain & Dependency Risk,ASI04,High,OK,"Customer communication and mitigation protocols for harmful outputs establish accountability and response procedures, supporting traceability."
Control,E002.2,E002,Accountability,E002.2 Documentation: Additional harmful output failure procedures,"- Defining harmful output categories with reference to risk taxonomy. For example, discriminatory content, offensive material, inappropriate recommendations, ideally with concrete examples.
- Coordinating external support engagement. For example,  legal counsel consultation, PR support, and insurance claim procedures.",Operational Practices,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,High,OK,Defining harmful output categories addresses consequences of goal manipulation that produces dangerous content. Traceability is secondary.
Requirement,E003,,Accountability,E003: AI failure plan for hallucinations,"Document AI failure plan for hallucinated AI outputs that cause substantial customer financial loss assigning accountable owners and establishing remediation with third-party support as needed (e.g. legal, PR, insurers)",,Agent Cascading Failures,Agent Untraceability,ASI08,High,OK,Failure plans for hallucinations address scenarios where false agent outputs cascade into financial harm. Accountability supports traceability.
Control,E003.1,E003,Accountability,E003.1 Documentation: AI failure plan for hallucinations,"- Establishing compensation assessment procedures. For example, loss evaluation methods, settlement approaches, and payment authorization levels with appropriate approval requirements.
- Implementing remediation measures. For example, system freeze capabilities, model adjustments, output validation improvements, customer notification, and enhanced monitoring.",Operational Practices,Agent Untraceability,Agent Supply Chain & Dependency Risk,ASI03,Medium,OK,Compensation assessment and remediation procedures for hallucinations address cascading financial harm. Traceability is secondary.
Control,E003.2,E003,Accountability,E003.2 Documentation: Additional hallucination failure procedures,"- Defining hallucination incident types. 
- Coordinating potential external support. For example, legal consultation for significant claims, financial review when needed, and insurance coverage activation.",Operational Practices,Agent Untraceability,Agent Supply Chain & Dependency Risk,ASI04,Medium,OK,Defining hallucination incident types and coordinating external support addresses cascading financial harm from false outputs. Traceability is secondary.
Requirement,E004,,Accountability,E004: Assign accountability,"Document which AI system changes across the development & deployment lifecycle require formal review or approval, assign a lead accountable for each, and document their approval with supporting evidence",,Agent Untraceability,,,Medium,P2,Detected cues: approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
Control,E004.1,E004,Accountability,E004.1 Documentation: Change approval policy and records,"- Defining AI system changes requiring approval including model selection, material changes to the meta prompt, adding / removing guardrails, changes to end-user workflow, other changes that drive material. For example, +/-10% performance on evals.
- Assigning an accountable lead as approver for each of these changes. Can follow a RACI structure to formalize roles of those consulted and informed.",Operational Practices,Agent Untraceability,,,High,OK,"Detected cues: eval, change management, approval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated."
Control,E004.2,E004,Accountability,E004.2 Config: Code signing implementation,"- Implementing code signing and verification processes for AI models, libraries, and deployment artefacts to ensure only digitally signed components are approved for production use.",Technical Implementation,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,Medium,OK,Code signing and verification for AI components addresses supply chain integrity by ensuring only approved artifacts reach production. Traceability is secondary.
Requirement,E005,,Accountability,E005: Assess cloud vs on-prem processing,"Establish criteria for selecting cloud provider, and circumstances for on-premises processing considering data sensitivity, regulatory requirements, security controls, and operational needs",,Agent Supply Chain & Dependency Risk,Agent Access Control Violation,ASI04,High,OK,Cloud vs on-prem decisions directly impact supply chain dependencies and third-party risk exposure. Access control considerations are secondary.
Control,E005.1,E005,Accountability,E005.1 Documentation: Deployment decisions,"- Conducting deployment risk assessments. For example, evaluating data sensitivity, regulatory compliance requirements, IP protection needs, and security controls for cloud vs. on-premises AI processing.
- Documenting decision criteria and rationale. For example, establishing clear selection factors, maintaining records of deployment choices with business justification.
- Reviewing deployment decisions when requirements change. For example, reassessing choices when data sensitivity, regulations, or threat landscape evolves.",Operational Practices,Agent Untraceability,,,Medium,OK,Detected cues: eval. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.
